,level_0,index,log_price,accommodates,city,number_of_reviews,review_scores_rating,grade
0,0,0,5.0106352940962555,3,NYC,2,100.0,A
1,1,1,5.1298987149230735,7,NYC,6,93.0,A
2,2,2,4.976733742420574,5,NYC,10,92.0,A
3,4,5,4.442651256490317,2,SF,3,100.0,A
4,5,6,4.4188406077965965,3,LA,15,97.0,A
5,6,7,4.787491742782046,2,LA,9,93.0,A
6,7,8,4.787491742782046,2,SF,159,99.0,A
7,9,10,4.605170185988092,2,NYC,82,93.0,A
8,10,11,5.0106352940962555,4,LA,29,97.0,A
9,11,13,5.298317366548036,6,DC,13,89.0,B
10,12,14,4.955827057601262,2,LA,2,100.0,A
11,13,16,4.31748811353631,2,Chicago,15,91.0,A
12,14,17,4.59511985013459,2,Boston,12,88.0,B
13,15,18,4.882801922586372,2,NYC,26,86.0,B
14,16,19,4.59511985013459,8,NYC,5,72.0,C
15,17,20,4.382026634673881,2,LA,26,98.0,A
16,19,22,4.90527477843843,4,LA,73,99.0,A
17,20,23,4.007333185232471,2,LA,2,100.0,A
18,21,25,5.003946305945459,6,NYC,14,100.0,A
19,22,26,4.553876891600541,2,LA,1,100.0,A
20,23,27,5.003946305945459,4,NYC,4,100.0,A
21,24,28,5.1929568508902095,3,LA,4,95.0,A
22,25,29,4.653960350157523,3,NYC,40,88.0,B
23,26,30,4.31748811353631,2,NYC,1,100.0,A
24,27,32,5.220355825078324,4,LA,248,96.0,A
25,28,33,4.48863636973214,1,LA,46,99.0,A
26,29,35,4.382026634673881,2,NYC,17,96.0,A
27,30,36,4.8283137373023015,2,SF,138,96.0,A
28,32,38,4.74493212836325,2,NYC,2,100.0,A
29,33,39,4.68213122712422,2,Boston,40,96.0,A
30,34,42,4.31748811353631,8,LA,44,92.0,A
31,35,43,4.997212273764115,4,LA,29,95.0,A
32,36,44,5.783825182329737,2,LA,1,80.0,B
33,37,49,4.007333185232471,2,NYC,34,88.0,B
34,38,50,4.1588830833596715,2,Chicago,85,96.0,A
35,39,52,6.620073206530356,6,SF,18,97.0,A
36,40,54,4.7791234931115305,2,NYC,3,100.0,A
37,41,55,4.74493212836325,5,NYC,1,100.0,A
38,42,56,4.68213122712422,2,NYC,31,94.0,A
39,43,57,4.948759890378168,2,NYC,2,80.0,B
40,45,59,5.857933154483459,4,LA,3,93.0,A
41,46,60,4.8283137373023015,6,Boston,5,100.0,A
42,47,65,4.4998096703302615,3,LA,1,100.0,A
43,48,67,4.6913478822291435,3,LA,1,100.0,A
44,49,68,4.7791234931115305,6,LA,30,89.0,B
45,50,69,4.4998096703302615,2,LA,4,100.0,A
46,51,70,4.7791234931115305,2,DC,6,100.0,A
47,53,75,5.1647859739235145,2,LA,25,100.0,A
48,54,76,4.700480365792417,2,NYC,6,100.0,A
49,56,80,5.857933154483459,3,NYC,3,100.0,A
50,57,81,4.574710978503383,6,NYC,22,96.0,A
51,58,82,4.0943445622221,2,NYC,3,80.0,B
52,59,83,5.0106352940962555,1,SF,1,100.0,A
53,60,84,4.859812404361672,4,SF,31,93.0,A
54,61,85,5.087596335232384,7,LA,6,84.0,B
55,63,88,5.5606816310155285,4,LA,1,100.0,A
56,65,90,4.0943445622221,3,DC,1,80.0,B
57,66,91,4.700480365792417,3,Chicago,18,97.0,A
58,67,96,4.248495242049359,1,NYC,2,100.0,A
59,68,97,4.605170185988092,4,LA,15,100.0,A
60,69,98,4.804021044733257,2,NYC,2,100.0,A
61,70,99,4.927253685157205,2,NYC,23,89.0,B
62,71,100,4.174387269895637,2,NYC,5,80.0,B
